id	h212102	h212311	h212312	h212315	h212316	h212318	h212319	h212321	h212326	h212332	h212329	h212402	gender	age	h212313a
7162	6000	65	15	25	22	4	15	16	7	16	3	100	1	43	83
7218	6000	30	20	35	12	1	5	10	5	20	0	100	2	38	0
7223	7560	80	20	60	30	10	80	25	30	34	0	95	1	40	108
7224	3170	50	0	35	30	2	3	17	5	7	10	50	1	39	33
7270	1800	60	15	17	10	3	40	10	10	13	0	60	1	38	20
7308	4800	30	10	30	25	0	10	5	10	12	5	150	1	42	0
7360	1200	20	0	0	5	3	3	3	10	10	10	0	2	66	0
7421	0	5	0	0	2	48	0	0	3	0	0	0	2	31	0
7423	5620	45	0	35	24	3	15	12	8	15	10	0	2	37	0
7487	2060	10	20	0	7	1	5	6	10	8	5	50	2	38	0
7492	4500	30	10	20	20	5	15	25	20	22	0	50	1	36	30
7510	3240	40	20	20	15	1	10	12	3	15	3	70	1	41	39
7571	3600	20	0	0	36	1	6	10	40	9	25	107	1	42	0
7576	4800	50	0	35	20	3	15	13	5	12	10	80	2	41	70
7594	7080	50	20	6	20	5	20	16	30	30	0	100	1	41	11
7626	2250	60	10	12	18	1	5	10	8	12	4	50	1	38	48
7641	2352	20	25	25	12	1	5	6	15	4	0	55	1	43	0
7662	4080	30	10	50	10	3	10	15	10	20	0	30	1	52	10
7667	4800	10	50	0	20	3	20	12	20	35	5	160	1	43	0
7684	3000	20	20	30	10	5	5	10	5	10	0	0	1	44	0
7694	3500	60	10	15	20	2	2	10	0	10	0	0	2	61	0
7773	4950	50	20	30	45	5	5	10	5	5	0	50	1	42	0
7786	1900	40	10	0	15	0	10	10	5	6	10	0	2	30	0
7800	3840	50	20	50	15	6	3	23	10	0	1	36	1	40	53
7820	3360	60	0	0	17	3	3	20	3	10	8	90	2	36	10
7823	1200	70	20	24	20	200	5	20	4	18	1	60	1	41	17
7848	4104	60	20	25	17	3	5	20	15	12	5	60	1	39	20
7850	9500	70	30	50	30	5	30	15	20	30	5	70	1	35	30
7857	9360	70	40	60	20	5	15	15	30	30	0	50	1	40	82
7863	2250	40	20	0	30	2	10	5	10	0	10	20	1	36	0
7871	3100	50	10	20	30	2	5	10	2	7	5	20	1	36	16
7882	7200	120	30	25	23	10	20	22	5	35	5	50	2	40	0
7904	2040	20	10	25	28	1	2	7	10	8	0	50	1	48	0
8036	1000	30	3	0	25	3	3	2	4	0	2	0	1	43	0
8062	11640	25	0	0	20	2	30	20	10	29	25	70	1	39	0
8072	4800	80	20	50	25	2	10	10	30	15	1	60	1	38	82
8086	3000	30	20	30	20	0	10	10	10	3	0	50	1	41	0
8096	1956	30	0	0	10	12	10	5	10	0	10	100	2	60	0
8106	4800	20	5	0	10	5	8	4	10	0	2	175	2	48	0
8117	2400	30	0	0	17	40	5	8	3	20	2	20	2	58	0
8126	6600	30	20	40	60	1	2	8	15	18	2	200	1	38	5
8132	8600	50	50	50	25	5	10	15	20	15	0	180	1	33	10
8139	0	10	1	0	12	5	1	3	2	0	3	0	2	79	0
8174	2850	30	15	15	40	3	5	11	7	5	4	0	1	47	0
8236	7800	60	10	30	16	55	5	15	5	18	6	300	1	36	33
8306	2400	20	0	0	38	2	15	8	3	4	18	12	1	42	0
8332	3400	70	10	40	17	4	10	10	5	9	4	0	1	38	0
8347	1800	30	20	0	14	7	20	6	5	12	5	55	1	65	0
8349	8760	40	3	10	12	30	10	10	5	12	10	300	1	31	10
8362	3400	20	10	25	25	5	5	25	5	10	5	0	1	43	14
8363	4440	60	2	20	15	3	7	15	3	15	3	50	1	35	40
8372	4500	50	10	30	15	5	10	10	10	8	0	50	1	37	20
8376	5340	50	10	40	25	5	2	20	5	15	0	200	1	33	18
8448	3540	25	5	35	25	1	20	8	20	15	5	20	1	36	35
8484	3840	40	5	20	12	5	10	15	5	10	6	120	2	35	0
8528	7560	60	15	45	30	4	16	20	15	20	7	200	1	39	0
8581	2745	40	5	0	30	1	10	5	10	7	7	100	2	31	0
8609	3000	8	3	0	3	2	10	6	3	8	5	150	1	34	0
8614	4200	35	0	30	20	3	10	15	5	6	6	8	2	34	0
8703	2000	30	10	30	20	5	5	20	5	6	5	40	1	30	10
8721	3990	70	5	25	12	2	10	20	20	10	10	130	1	29	5
8732	6600	45	0	45	20	3	28	20	5	16	7	220	1	38	10
8745	4200	40	15	25	23	3	10	16	10	25	5	80	1	39	15
8788	5412	50	20	30	18	20	10	13	5	17	5	50	1	34	0
8911	6540	50	15	30	20	0	30	15	20	25	10	330	1	31	0
8915	9600	100	50	30	20	0	30	15	30	30	10	0	2	34	0
8941	3360	30	10	8	8	3	5	12	5	8	3	0	1	38	0
8953	2340	20	10	0	35	0	1	7	3	7	4	0	1	25	0
8965	4200	60	30	20	15	1	3	25	10	15	10	100	1	53	35
8973	5880	70	10	30	15	1	30	15	5	8	0	275	1	33	0
8976	2700	20	5	10	31	1	10	8	10	8	5	110	1	23	0
9053	4200	45	20	30	22	1	10	11	5	15	3	100	2	34	26
9076	6520	40	20	15	25	10	5	18	10	15	2	250	2	34	0
9101	5520	50	20	0	15	1	10	20	10	20	25	20	1	35	0
9112	4840	10	5	22	16	5	2	20	5	10	3	85	1	34	5
9120	3240	30	20	0	5	5	15	8	10	12	10	170	1	27	0
9135	8520	40	20	40	20	5	3	13	10	25	0	80	1	38	0
9141	5450	35	15	50	10	0	0	15	8	17	0	170	1	49	0
9145	0	20	3	0	25	5	1	2	0	0	0	0	1	81	0
9198	2400	20	20	0	7	8	10	10	10	10	12	50	1	30	0
9240	2400	50	0	10	20	0	0	8	1	8	0	10	1	34	0
9304	390	50	30	30	20	10	15	10	5	0	5	200	1	38	0
9322	2380	30	10	20	10	5	10	5	10	13	0	100	2	30	0
9329	2430	10	20	15	45	1	10	10	10	0	0	15	2	32	0
9333	6400	70	10	10	25	1	0	10	1	15	2	0	1	30	0
9457	3600	30	10	0	10	1	10	6	10	7	6	100	2	46	0
9489	3600	60	10	30	15	10	10	20	5	8	0	20	1	32	2
9492	5224	45	20	0	9	5	20	11	3	6	5	20	1	34	0
9494	6260	50	20	32	25	5	2	20	30	15	0	190	1	35	0
